name,brName,avgTime,sem,repeats,minValue,maxValue,earliestTime,latestTime
bbb.normal.landing.post-load.or-search,general,1193,66,11,986,1507,"11/4/2024, 3:08:17 PM","11/4/2024, 4:47:41 PM"
bbb.normal.landing.pre-load.not-search,general,3838,289,11,2884,5974,"11/4/2024, 3:08:14 PM","11/4/2024, 4:47:42 PM"
bbb.normal.landing.post-load.not-search,general,1158,53,11,964,1473,"11/4/2024, 3:08:17 PM","11/4/2024, 4:47:44 PM"
bbb.normal.landing.pre-load.and-search,general,3848,335,11,2391,6669,"11/4/2024, 3:08:14 PM","11/4/2024, 4:47:40 PM"
bbb.normal.landing.post-load.and-search,general,1041,46,11,931,1493,"11/4/2024, 3:08:17 PM","11/4/2024, 4:47:41 PM"
bbb.normal.landing.pre-load.pub-date,general,3333,196,11,2441,4927,"11/4/2024, 3:08:18 PM","11/4/2024, 4:47:45 PM"
bbb.normal.landing.post-load.pub-date,general,968,12,11,908,1017,"11/4/2024, 3:08:20 PM","11/4/2024, 4:47:47 PM"
bbb.normal.landing.pre-load.cited-by-author,general,3217,213,11,2454,5053,"11/4/2024, 3:08:21 PM","11/4/2024, 4:48:08 PM"
bbb.normal.landing.post-load.cited-by-author,general,1085,48,11,947,1535,"11/4/2024, 3:08:23 PM","11/4/2024, 4:48:10 PM"
bbb.normal.landing.pre-load.title-citations,general,3083,144,11,2385,4134,"11/4/2024, 3:08:24 PM","11/4/2024, 4:48:11 PM"
bbb.normal.landing.post-load.title-citations,general,1100,50,11,965,1573,"11/4/2024, 3:08:26 PM","11/4/2024, 4:48:13 PM"
bbb.normal.landing.pre-load.full-text-references,general,4722,154,11,4032,5982,"11/4/2024, 3:09:41 PM","11/4/2024, 4:49:06 PM"
bbb.normal.landing.post-load.full-text-references,general,2903,128,11,2462,4069,"11/4/2024, 3:09:43 PM","11/4/2024, 4:49:08 PM"
bbb.normal.landing.pre-load.pub-type-citations-year,general,3723,297,11,2396,5390,"11/4/2024, 3:09:46 PM","11/4/2024, 4:49:11 PM"
bbb.normal.landing.post-load.pub-type-citations-year,general,1269,75,11,989,1593,"11/4/2024, 3:09:48 PM","11/4/2024, 4:49:13 PM"
bbb.normal.landing.pre-load.author-citations-title-abstract,general,3337,124,11,2848,3968,"11/4/2024, 3:09:51 PM","11/4/2024, 4:49:20 PM"
bbb.normal.landing.post-load.author-citations-title-abstract,general,1006,15,11,939,1090,"11/4/2024, 3:09:53 PM","11/4/2024, 4:49:21 PM"
bbb.normal.landing.pre-load.affiliation-references,general,9524,240,11,8039,10942,"11/4/2024, 3:09:44 PM","11/4/2024, 4:49:09 PM"
bbb.normal.landing.post-load.affiliation-references,general,7508,159,11,6663,8116,"11/4/2024, 3:09:46 PM","11/4/2024, 4:49:11 PM"
